datetime,sentiment_score
2025-04-24 22:14:00,0.9152
2025-04-24 22:33:00,0.9819
2025-04-24 23:50:00,0.9243
2025-04-25 00:17:00,0.9932
2025-04-25 02:48:00,0.9853
2025-04-25 06:50:00,0.8075
2025-04-25 07:08:00,0.9989
2025-04-25 07:08:00,0.9984
2025-04-25 07:08:00,0.9986
2025-04-25 07:08:00,0.999
2025-04-25 07:08:00,0.9992
2025-04-25 07:08:00,0.9993
2025-04-25 07:08:00,0.9985
2025-04-25 07:08:00,0.9992
2025-04-25 07:08:00,0.9991
2025-04-25 07:08:00,0.9987
2025-04-25 07:15:00,0.9726
2025-04-25 07:45:00,0.96
2025-04-25 08:44:00,0.9967
2025-04-25 08:57:00,0.9831
2025-04-25 10:20:00,-0.7534
2025-04-25 10:30:00,0.9991
2025-04-25 11:00:00,0.9976
2025-04-25 11:00:00,0.9977
2025-04-25 11:03:00,0.9308
2025-04-25 11:31:00,0.9965
2025-04-25 11:35:00,0.9376
2025-04-25 11:37:00,0.9881
2025-04-25 11:40:00,-0.9633
2025-04-25 11:45:00,0.8989
2025-04-25 12:00:00,0.9996
2025-04-25 12:07:00,0.3038
2025-04-25 13:10:00,0.9553
2025-04-25 13:45:00,0.992
2025-04-25 14:07:00,0.9951
2025-04-25 14:15:00,0.372
2025-04-25 14:30:00,0.2023
2025-04-25 14:42:00,0.9816
2025-04-25 14:43:00,-0.3612
2025-04-25 14:57:00,0.9276
2025-04-25 15:02:00,0.9186
2025-04-25 15:15:00,0.9686
2025-04-25 15:15:00,0.5106
2025-04-25 15:18:00,0.5217
2025-04-25 15:40:00,0.6643
2025-04-25 15:42:00,-0.6653
2025-04-25 15:50:00,0.7783
2025-04-25 15:58:00,0.9867
2025-04-25 16:30:00,0.996
2025-04-25 16:49:00,0.891
2025-04-25 17:01:00,0.8945
2025-04-25 17:23:00,0.7543
2025-04-25 17:26:00,0.7845
2025-04-25 17:31:00,0.9831
2025-04-25 18:01:00,0.727
2025-04-25 18:37:00,0.9638
2025-04-25 19:03:00,0.9913
2025-04-25 19:38:00,0.7865
2025-04-25 19:43:00,0.2774
2025-04-25 20:11:00,0.9814
2025-04-25 20:32:00,0.34
2025-04-25 20:34:00,0.9921
